Date,Team,Total_Deposit,Deposit_Target,Deposit_Retention,Performing_Loans,Non_Performing_Loans,Customers,New_Customers,Net_Interest_Income,Fee_Income,Budget_Gap,MoM_Growth,Percent_Achieved,Performance_Status
2025-01-01,Lekki,8647772460.52,8755000000.0,0.9052,5509660407.67,269677708.12,140,11,101734055.16,36600419.59,-107227539.48,7.09,98.78,Near Target
2025-02-01,Lekki,9229772310.25,9017650000.0,0.9369,4829880032.61,308128929.95,138,13,93963382.82,26459994.51,212122310.25,6.73,102.35,Above Target
2025-03-01,Lekki,9036228016.97,9288179500.0,0.843,5323343157.51,195096084.97,130,12,108261666.56,29211628.35,-251951483.03,-2.1,97.29,Near Target
2025-04-01,Lekki,9580936397.71,9566824885.0,0.9021,5288176815.95,240978925.81,141,12,120889619.49,27219902.56,14111512.71,6.03,100.15,Above Target
2025-05-01,Lekki,8998273767.79,9853829631.55,0.8998,5664208934.21,241329850.85,152,8,103514030.96,38860312.26,-855555863.76,-6.08,91.32,Near Target
2025-06-01,Lekki,9463551038.13,10149444520.5,0.8673,5393029528.26,247015426.0,131,12,138906519.73,38329895.67,-685893482.37,5.17,93.24,Near Target
2025-07-01,Lekki,9393680994.42,10453927856.11,0.916,5017717370.65,164778398.79,154,11,105921094.98,28582134.97,-1060246861.69,-0.74,89.86,Below Target
2025-08-01,Lekki,8954148346.51,10767545691.79,0.947,5058641824.25,236278249.77,164,10,94072552.87,40058834.93,-1813397345.29,-4.68,83.16,Below Target
2025-09-01,Lekki,8854366167.1,11090572062.55,0.9314,4612093582.42,265741716.4,179,14,111475052.61,23447152.34,-2236205895.45,-1.11,79.84,Below Target
2025-10-01,Lekki,8828610014.14,11423289224.43,0.8992,5810077775.18,290108368.14,154,11,119036051.76,27813358.5,-2594679210.29,-0.29,77.29,Below Target
2025-11-01,Lekki,9462133579.83,11765987901.16,0.9575,6263497538.95,274896119.34,171,10,150864357.94,34277093.59,-2303854321.32,7.18,80.42,Below Target
2025-12-01,Lekki,9372627984.75,12118967538.19,0.9648,5657667407.3,238197080.58,168,11,116066186.04,32964857.75,-2746339553.45,-0.95,77.34,Below Target
2026-01-01,Lekki,9554871748.24,12482536564.34,0.9225,5595918300.65,309018055.25,154,10,142346626.27,39330152.54,-2927664816.1,1.94,76.55,Below Target
2026-02-01,Lekki,10217168169.46,12857012661.27,0.9215,6626727890.17,215122157.76,172,14,162086591.59,43853951.44,-2639844491.8,6.93,79.47,Below Target
2026-03-01,Lekki,9906730792.02,13242723041.11,0.8985,5512794778.79,232002172.95,178,12,99536911.37,34886499.04,-3335992249.08,-3.04,74.81,Below Target
2026-04-01,Lekki,9846106885.79,13640004732.34,0.8953,5308808735.6,204413593.24,172,13,117591838.72,38459266.84,-3793897846.55,-0.61,72.19,Below Target
2026-05-01,Lekki,10577341361.33,14049204874.31,0.9074,7129038880.83,250024603.08,142,11,144567811.53,27223685.07,-3471863512.98,7.43,75.29,Below Target
2026-06-01,Lekki,10542186883.46,14470681020.54,0.99,5568768957.99,201287935.16,175,12,106692929.77,36675272.15,-3928494137.08,-0.33,72.85,Below Target
2025-01-01,Ikoyi,8111990628.36,8034000000.0,0.9363,4526669291.52,245022515.6,170,7,104422283.14,28972375.0,77990628.36,9.47,100.97,Above Target
2025-02-01,Ikoyi,7747800346.87,8275020000.0,0.8902,4079403005.31,198404693.06,119,12,94484612.66,22071413.43,-527219653.13,-4.49,93.63,Near Target
2025-03-01,Ikoyi,7957838189.95,8523270600.0,0.9642,5330771167.26,162592986.54,134,11,135388521.64,33858044.7,-565432410.05,2.71,93.37,Near Target
2025-04-01,Ikoyi,8601037777.44,8778968718.0,0.8669,5597173086.91,264231528.79,122,12,104918014.01,36936567.7,-177930940.56,8.08,97.97,Near Target
2025-05-01,Ikoyi,8511273468.81,9042337779.54,0.9374,4887554246.29,190460085.73,162,12,122661440.59,34553651.76,-531064310.73,-1.04,94.13,Near Target
2025-06-01,Ikoyi,8240278341.6,9313607912.93,0.9181,4498043232.37,274120504.27,160,9,81146915.97,23250902.06,-1073329571.33,-3.18,88.48,Below Target
2025-07-01,Ikoyi,8951626674.46,9593016150.31,0.9266,5588624078.93,189849876.49,139,14,115143526.13,35743691.43,-641389475.85,8.63,93.31,Near Target
2025-08-01,Ikoyi,8632985627.92,9880806634.82,0.9244,5397498550.19,257635258.26,154,9,108606409.06,25795182.24,-1247821006.9,-3.56,87.37,Below Target
2025-09-01,Ikoyi,8299900256.27,10177230833.87,0.9219,5500571722.37,276379224.22,161,16,124396700.56,28925446.11,-1877330577.59,-3.86,81.55,Below Target
2025-10-01,Ikoyi,8529492077.55,10482547758.88,0.88,4818511182.89,125149449.82,143,13,122986082.94,37596782.67,-1953055681.33,2.77,81.37,Below Target
2025-11-01,Ikoyi,8376766513.01,10797024191.65,0.935,4376634821.6,271932324.4,173,11,112518728.76,35232838.37,-2420257678.64,-1.79,77.58,Below Target
2025-12-01,Ikoyi,8356335039.83,11120934917.4,0.857,5483275531.41,206592715.33,170,8,139764516.1,32523353.96,-2764599877.57,-0.24,75.14,Below Target
2026-01-01,Ikoyi,8562595441.2,11454562964.92,0.9154,5295118921.53,342076088.04,170,8,132478498.62,34092292.58,-2891967523.72,2.47,74.75,Below Target
2026-02-01,Ikoyi,9429060727.71,11798199853.87,0.9469,5445457801.76,200086125.0,180,13,135791086.21,40794653.08,-2369139126.16,10.12,79.92,Below Target
2026-03-01,Ikoyi,9487895935.88,12152145849.49,0.99,6145568540.12,313415128.91,190,13,154376944.36,30133465.59,-2664249913.6,0.62,78.08,Below Target
2026-04-01,Ikoyi,9249036109.77,12516710224.97,0.9017,5665264201.98,149776504.13,216,6,114961410.82,34051866.6,-3267674115.2,-2.52,73.89,Below Target
2026-05-01,Ikoyi,9460660927.29,12892211531.72,0.9481,5111875910.58,234582607.39,164,14,117486876.94,25266539.17,-3431550604.43,2.29,73.38,Below Target
2026-06-01,Ikoyi,9669054046.84,13278977877.67,0.8872,5864296938.03,296130552.23,142,12,142863008.62,29410018.47,-3609923830.83,2.2,72.81,Below Target
2025-01-01,VI1,6708606241.67,7107000000.0,0.906,3515686150.55,223266941.74,154,14,74784352.33,19096642.32,-398393758.33,2.34,94.39,Near Target
2025-02-01,VI1,6981947220.97,7320210000.0,0.8871,4244160008.56,227418377.71,124,14,108815688.46,27758782.71,-338262779.03,4.07,95.38,Near Target
2025-03-01,VI1,7813949308.37,7539816300.0,0.9461,4587851019.17,160158390.39,171,9,83109599.8,21348844.73,274133008.37,11.92,103.64,Above Target
2025-04-01,VI1,7512884916.65,7766010789.0,0.9371,4476686302.0,129436071.42,92,8,86783316.94,25301167.31,-253125872.35,-3.85,96.74,Near Target
2025-05-01,VI1,7887634821.89,7998991112.67,0.8599,4903071994.7,131461952.73,178,7,107990602.3,33230445.25,-111356290.78,4.99,98.61,Near Target
2025-06-01,VI1,7210683536.12,8238960846.05,0.9262,3830971263.59,194217873.35,156,10,97773443.03,26325833.2,-1028277309.93,-8.58,87.52,Below Target
2025-07-01,VI1,7845963037.34,8486129671.43,0.8667,4655170417.91,217976825.93,154,13,119589114.55,33821602.94,-640166634.09,8.81,92.46,Near Target
2025-08-01,VI1,7460426475.77,8740713561.57,0.8882,3964397395.84,149691781.22,148,14,75106771.8,29046978.98,-1280287085.8,-4.91,85.35,Below Target
2025-09-01,VI1,7593889111.41,9002934968.42,0.9208,4841950017.24,276665330.62,146,10,116230613.19,31238749.86,-1409045857.02,1.79,84.35,Below Target
2025-10-01,VI1,7378228998.39,9273023017.47,0.9141,4275852619.73,239689411.18,172,11,106328918.47,24776004.84,-1894794019.08,-2.84,79.57,Below Target
